cohort,pages,clicks,impressions,ctr,ctr_ci_low,ctr_ci_high,impr_per_page,clicks_per_page,mean_position,wmean_position,median_position,pct_top3,pct_top10
blog (pain-driven),28,0,215,0.0,0.0,0.017554249283500026,7.678571428571429,0.0,7.902142857142857,7.812465116279069,7.9,3.571428571428571,89.28571428571429
product (simple AI),316,45,7448,0.006041890440386681,0.004518683962874624,0.008074391016067496,23.569620253164558,0.14240506329113925,9.689145569620255,8.677085123523094,7.75,1.89873417721519,74.68354430379746
category (context),114,1,413,0.002421307506053269,0.0004275371753579239,0.013586419205195262,3.6228070175438596,0.008771929824561403,30.068157894736846,18.835593220338982,10.5,7.017543859649122,50.0
product subpages (context),129,2,490,0.004081632653061225,0.0011200220045603287,0.014758753700038069,3.798449612403101,0.015503875968992248,19.689922480620154,17.891714285714283,11.0,4.651162790697675,47.286821705426355
other (home/nav),12,47,2674,0.017576664173522813,0.013243700920165434,0.023293785090956365,222.83333333333334,3.9166666666666665,4.0975,3.840860134629768,2.585,58.333333333333336,100.0
